id,name,tier,tier_name,category,funding_display,funding_usd_m,status,owner,founders,confidence,threat,url,what,relationship,coconut_answer
glean,Glean,2,Enterprise knowledge & Work AI,Enterprise search + agents,$765M raised · $7.2B valuation · $300M ARR,765,"Series F · 1,648 employees · founded 2019",Independent,,verified,high,https://glean.com,"Permissions-aware enterprise search over a knowledge graph, plus Glean Agents. Positions its knowledge graph as the governed context layer for enterprise AI agents. Model-agnostic.","The comparison every enterprise buyer will make, and the gap is wider than prior research suggested. ARR went from ~$100M to $208M at end-2025 to $300M by May 2026 — an 89% year-over-year jump. Glean is not a slow incumbent to be out-executed; it is compounding faster than most startups in the category.","Glean helps people find information; Coconut lets agents query state. Genuinely different jobs — but Glean Agents is closing that distance, and Glean already has the connector library, the ACL enforcement and the procurement relationships. Coconut's newer answers are self-hosting and a solutions-template gallery, neither of which Glean sells."
clickup-brain,ClickUp Brain,2,Enterprise knowledge & Work AI,Workspace-native AI,Part of ClickUp (~$538M raised),538,Shipping,ClickUp,,reported,low,https://clickup.com/brain,"Native AI layer inside ClickUp drawing on tasks, docs, and projects.","Workspace-bound, not model-agnostic. Same bundling logic as Notion AI at a smaller scale.",Portability.
capacity,Capacity,2,Enterprise knowledge & Work AI,Support automation + knowledge,$155M+ raised · reported $100M+ ARR,155,Established,Independent,,thin,low,https://capacity.com,"AI support-automation platform assembled from acquisitions, including Starmind's expertise network.","A roll-up of knowledge and support tooling. Adjacent rather than competing, but it is buying the pieces Coconut is building.",Different buyer — support ops rather than the AI platform owner.
promptql,PromptQL (Hasura),2,Enterprise knowledge & Work AI,Structured-data access,Hasura: $135M+ raised,135,Shipping,Hasura,,reported,low,https://promptql.io,"Trusted, accurate LLM access to business data using Hasura metadata and API-layer security. Multiplayer AI with shared threads and wiki. MCP server available.","Solves deterministic metric governance over the warehouse — the flank Coconut does not cover. Coconut governs prose and process; PromptQL governs numbers. A complement, but enterprises will probe the seam.",Partner rather than compete. Pre-empt the 'can it do governed metrics' objection.
devrev,DevRev,2,Enterprise knowledge & Work AI,AgentOS + knowledge graph,~$100.8M Series A at $1.15B (Aug 2024),101,Series A,Independent,,reported,low,https://devrev.ai,AI-native support and product platform built on AgentOS over a real-time knowledge graph.,"Knowledge-graph-backed agent platform, but anchored to support and product workflows rather than org-wide context.",Different surface area.
contextual-ai,Contextual AI,2,Enterprise knowledge & Work AI,RAG platform,"$100M raised ($80M Series A, Aug 2024)",100,Series A,Independent,,verified,low,https://contextual.ai,"Enterprise platform for building specialized RAG agents, with a grounded language model and reranker. Founded by ex-FAIR researchers.",A platform for teams that want to build their own context system. Competes for the same budget with the opposite answer: build it yourself on better primitives.,"Coconut is the finished product, not the toolkit."
guru,Guru,2,Enterprise knowledge & Work AI,Knowledge management + verification,"~$68M raised ($30M Series C, 2020)",68,Established SaaS,Independent,,verified,medium,https://getguru.com,"AI knowledge management and enterprise search with verification workflows, permission-aware cited answers, and a browser extension.",Guru shipped verification intervals and content ownership years before anyone called it a context layer. Coconut's decay signals and last-verified are the same idea rebuilt for agents. Guru has the install base; Coconut has the agent-native design.,Guru is a knowledge base with AI bolted on. Coconut is context-first and model-agnostic.
shelf,Shelf.io,2,Enterprise knowledge & Work AI,Knowledge management,~$60.7M raised,61,Series B,Independent,,thin,low,https://shelf.io,AI knowledge management and answer automation for contact centers.,Contact-center vertical. Shares the 'stale knowledge is a liability' thesis with a different buyer.,Different segment.
dust,Dust,2,Enterprise knowledge & Work AI,Multiplayer AI workspace,"$60M+ raised ($40M Series B, May 2026)",60,"Series B · 3,000+ organizations · 70%+ weekly active",Independent,,verified,high,https://dust.tt,"Multiplayer AI platform for human-agent collaboration. Connects agents to company knowledge across 100+ data sources with built-in memory, feedback loops, and enterprise governance.","Badly underrated in prior research, which listed it only as 'VC-backed'. The $40M Series B was led by Abstract and Sequoia with Snowflake Ventures and Datadog participating, and Dust reports 3,000+ organizations at 70%+ weekly active usage. Note the language: Dust made 'multiplayer AI' a category term in May 2026, and Coconut's blog adopted the same framing on July 31 2026.","Coconut is a context layer that feeds any tool; Dust is a workspace you work inside. But Dust has memory, governance, and 100+ connectors, and it got there first with real distribution."
sana,Sana,2,Enterprise knowledge & Work AI,AI knowledge assistant,Acquired by Workday,55,Acquisition completed,Workday,,verified,low,https://sana.ai,"AI knowledge assistant, enterprise search, and agent builder.","Second data point in the consolidation wave. Workday framed it as building a new front door for work, folding Sana's search and agents into people and money context — the same 'context layer owned by the system of record' move Coconut has to argue against.","Coconut is not tied to one system of record, which is the whole pitch."
bloomfire,Bloomfire,2,Enterprise knowledge & Work AI,Knowledge engagement,~$32.8M raised · PE-backed,33,PE-backed,Primus Capital (reported),,thin,low,https://bloomfire.com,Knowledge engagement and AI knowledge management platform.,Install base to displace rather than a competitor to beat.,Not AI-native.
dashworks,Dashworks,2,Enterprise knowledge & Work AI,Enterprise search,Acquired by HubSpot (reported Apr 2025),15,Acquired,HubSpot,,thin,low,https://dashworks.ai,AI enterprise search and internal Q&A assistant across work apps.,Another consolidation data point. The HubSpot acquisition is carried from prior research and was not independently confirmed for this report.,n/a
starmind,Starmind,2,Enterprise knowledge & Work AI,Expertise network,~$15M raised · acquired by Capacity (reported 2026),15,Acquired,Capacity,,thin,low,https://starmind.ai,AI expertise network mapping who-knows-what inside an organization — tacit and human knowledge rather than documents.,"Attacks the half of tribal knowledge that never gets written down — the gap in every document-centric context layer, Coconut's included.","Coconut's Relationships layer gestures at this but is populated from documents, not from who actually answers questions."
osseus,Osseus,2,Enterprise knowledge & Work AI,R&D context (hardware vertical),YC S26 · a16z Speedrun 006 (reported),0.5,Early,Independent,,reported,low,https://osseus.ai,"Secure research brain for R&D teams. Permissioned, version-aware memory connecting CAD, schematics, BOMs, firmware, simulations, tests, and supplier feedback for robotics and hardware R&D.","The single most relevant company to the robotics-stack question. Osseus occupies the slot a robotics-native Coconut would occupy, and it is already taken. Permissioned and version-aware over engineering artifacts is Coconut's governance model applied to hardware.","Coconut is not in this market. Osseus shows what entering it would require: CAD, BOM, and firmware-aware connectors, not Slack and Drive."
zoominfo-gtm,ZoomInfo GTM AI,2,Enterprise knowledge & Work AI,GTM context layer,Public company,0,Shipping,ZoomInfo,,reported,low,https://gtm.ai,Agent-native / headless GTM context layer delivered via MCP or a single API.,"A public company marketing the exact phrase 'context layer for agents'. Evidence the language is being claimed fast, which weakens it as positioning real estate.",Own 'governance-first' rather than 'context layer' alone.
almanac,Almanac,3,Legacy knowledge bases & wikis,Docs / wiki,~$43M raised · US entity shut down Jan 2025,43,Largely defunct,n/a,,thin,low,https://almanac.io,Docs and wiki positioned as an OS for remote work.,A cautionary tale worth more than most of the live competitors: $43M into org-knowledge tooling that could not find a durable wedge before AI reset the category.,n/a
slite,Slite,3,Legacy knowledge bases & wikis,Team knowledge base,~$15.5M raised,15.5,Independent,Independent,,reported,low,https://slite.com,"Team knowledge base with AI Ask and stale-doc detection, connecting to 20+ tools with human approval.","Stale-doc detection plus human approval is a lightweight version of Coconut's decay signals and tiered propagation — shipped, in a cheaper product.",Coconut's version is agent-facing and governed at the page level.
slab,Slab,3,Legacy knowledge bases & wikis,Wiki,~$2.2M raised,2.2,Independent,Independent,,reported,low,https://slab.com,Modern knowledge base and wiki with unified search.,Install base.,n/a
tettra,Tettra,3,Legacy knowledge bases & wikis,Internal wiki,~$1.5M raised · acquired by GSoft (2023),1.5,Acquired,GSoft,,reported,low,https://tettra.com,Internal knowledge base and wiki with Slack AI Q&A.,Prior generation of the same instinct.,n/a
mintlify,Mintlify,4,Memory & agent infrastructure,AI-native docs,$45M Series B at ~$500M (Apr 2026),45,Series B,Independent,,reported,low,https://mintlify.com,AI-native documentation platform with docs optimized to serve AI agents. Acquired Trieve in 2025.,"Worth noting for one reason: Coconut's own documentation is built and hosted on Mintlify. A supplier, and a company moving toward docs-as-agent-context from the other direction.","Different scope — public docs, not internal org context."
langchain,LangChain / LlamaIndex,4,Memory & agent infrastructure,Orchestration frameworks,~$35M / ~$19M raised,35,Active,Independent,,reported,low,https://langchain.com,The dominant LLM orchestration and RAG frameworks.,"Named in the AI stack map at Layer 9, where Coconut also has real presence. Frameworks, not managed platforms.",Coconut is a product; these are parts.
swimm,Swimm,4,Memory & agent infrastructure,Code documentation,~$33.3M raised,33.3,Series A,Independent,,reported,low,https://swimm.io,"Continuous, auto-synced code documentation for engineering teams.",Auto-synced docs that decay-check themselves — Coconut's freshness thesis applied narrowly to code.,"Coconut spans the whole org, not the repo."
mem0,Mem0,4,Memory & agent infrastructure,Agent memory,"$24.5M raised ($24M Series A) · 62,829 stars",24.5,Series A · active,Independent,,verified,medium,https://mem0.ai,"Open-source memory layer for AI apps. Three-tier memory across user, session, and agent, over a hybrid vector, graph, and key-value store. Self-editing memory model.","Named in the AI stack map at Layer 10 as the memory player — the slot Coconut is arguing it belongs in. 62,829 stars means Mem0 owns developer mindshare for 'AI memory' outright, and a technical buyer starts there.","Mem0 is a library for builders with no governance layer; Coconut is a governed org system with an ACL engine, append-only revisions and audited metadata. Different buyer, same words — and note that Coconut is now explicitly not a vector store, so the two no longer even compete on mechanism."
zep,Zep,4,Memory & agent infrastructure,Conversational memory,"~$10-20M raised · 4,819 stars",15,Active,Independent,,verified,low,https://getzep.com,Long-term memory for conversational AI with episodic and temporal memory and entity extraction.,"Named alongside Mem0 in the AI stack map's Layer 10. Narrow: conversation memory, not org knowledge.",Different scope entirely.
letta,Letta (MemGPT),4,Memory & agent infrastructure,Stateful agent runtime,"$10M seed · 24,152 stars",10,Active,Independent,,verified,low,https://letta.com,"Open-source, model-agnostic stateful agent runtime with tiered core, recall, and archival memory.",Solves memory at the runtime layer beneath Coconut. A complement in principle; a substitute for a team that would rather build.,Coconut is the org layer above the runtime.
cognee,Cognee,4,Memory & agent infrastructure,Graph memory,"VC-backed · 29,872 stars",5,Active,Independent,,verified,low,https://cognee.ai,"Open-source graph memory for AI agents with auto-extracted ontologies, provenance tracking, and MCP support.",Auto-extracted ontologies are the counter-argument to Coconut's fixed five-layer schema: let structure emerge rather than imposing it.,Opinionation is the product for non-technical teams who do not want to design a schema.
quivr,Quivr,4,Memory & agent infrastructure,RAG framework,"YC W24 · 39,393 stars",5,Stale — no push since 2025-07-09,Independent,,verified,low,https://quivr.app,"Open-source RAG framework for building second brains and GenAI assistants over your documents. Model-agnostic, self-hostable.","39,393 stars and no commits in over a year. The clearest evidence in this dataset that stars are not traction and that build-your-own-second-brain projects decay. Useful ammunition for Coconut's managed pitch.",Maintenance is the product.
kapa,Kapa.ai,4,Memory & agent infrastructure,Docs Q&A,~$3.2M seed,3.2,Independent,Independent,,reported,low,https://kapa.ai,Turns technical documentation into AI assistants via RAG over 30+ sources.,Narrow docs-QA.,n/a
screenpipe,Screenpipe,4,Memory & agent infrastructure,Capture-first context,"YC S26 · 20,827 stars",2,Active,Independent,,verified,medium,https://screenpipe.com,"Records screen and audio continuously and locally, turning it into searchable memory, SOPs, and agent context. Open source with MCP and an API.","The opposite philosophy: capture everything automatically versus curate deliberately. If passive capture proves good enough, curation looks like unnecessary labour. The governance and privacy objections that come with it are Coconut's best counter.",Curate-first produces something an owner can stand behind. Capture-first produces a haystack.
langbase,Langbase,4,Memory & agent infrastructure,Agent platform,~$550K seed (thinly sourced),0.55,Early,Independent,,thin,low,https://langbase.com,"Serverless AI agent platform with managed semantic memory across 250+ models, marketing context-engineered agents.","Infrastructure layer, uses the same vocabulary.",n/a
epicenter,Epicenter,4,Memory & agent infrastructure,Local-first personal memory,"~$500K raised · 4,742 stars",0.5,Active,Independent,,verified,low,https://epicenter.so,"Open-source, local-first ecosystem of apps sharing one plain-text and SQLite memory.","Personal, not org-governed. Shares the plain-text-as-substrate conviction.",No multi-user governance.
